                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4201,                 1.8718,                 1.3604,                0.67597,                0.62979,                0.66568,                0.38385,                 1.3947,                 1.5606,                 1.4497,             0.00047196,             0.00047196,             0.00047196
                      2,                 1.3969,                 1.3094,                 1.3565,                 0.7456,                0.39239,                  0.444,                0.22209,                 1.6083,                 2.1557,                 1.7715,             0.00093891,             0.00093891,             0.00093891
                      3,                 1.3981,                 1.1812,                 1.3646,                0.52322,                0.58177,                0.52398,                0.27775,                 1.5908,                 1.5829,                 1.5758,              0.0013964,              0.0013964,              0.0013964
                      4,                 1.3679,                 1.0977,                 1.3549,                0.64297,                0.67311,                0.69715,                0.37365,                 1.4907,                 1.7398,                 1.5386,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3456,                 1.0211,                  1.338,                0.73122,                0.63494,                0.71902,                0.41833,                 1.4062,                 1.2158,                 1.4606,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3039,                0.97242,                 1.3107,                0.78894,                0.73522,                0.81935,                0.48647,                 1.3637,                 1.0339,                 1.4419,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3057,                0.94906,                 1.3132,                0.75445,                0.72278,                0.78386,                0.44954,                 1.4372,                 1.1076,                  1.489,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2961,                0.93264,                 1.3102,                 0.8129,                0.78569,                0.85441,                0.53359,                 1.3445,                0.95169,                 1.3958,                0.00133,                0.00133,                0.00133
                      9,                 1.2755,                 0.8841,                 1.2919,                  0.783,                0.77509,                0.82121,                0.49729,                 1.3679,                0.98129,                 1.4245,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2633,                0.86507,                  1.283,                 0.8238,                0.79215,                0.85824,                0.52214,                 1.3477,                0.88526,                 1.4237,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2486,                0.84253,                 1.2755,                 0.8292,                0.75228,                0.83017,                 0.5068,                 1.4061,                0.99303,                 1.4879,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2347,                0.82969,                 1.2635,                0.85531,                 0.7857,                0.86004,                0.55505,                 1.2688,                0.84126,                  1.348,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2324,                0.81328,                 1.2657,                0.83727,                0.74467,                0.82895,                0.51933,                 1.3129,                 0.9354,                 1.3925,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2215,                0.80637,                 1.2584,                0.83209,                0.76933,                0.85262,                0.54642,                 1.2812,                 0.8534,                 1.3556,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2102,                0.79205,                 1.2582,                0.80473,                0.74765,                0.83885,                0.53544,                 1.2825,                0.86771,                 1.3553,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.2082,                0.78269,                 1.2457,                0.88885,                0.83702,                0.91488,                0.60236,                 1.2314,                 0.7373,                 1.3191,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.2019,                0.77534,                 1.2465,                0.87088,                0.80973,                0.88513,                0.58407,                 1.2233,                0.75454,                 1.3103,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1899,                0.75893,                 1.2405,                 0.8645,                0.83602,                0.89693,                0.59353,                  1.245,                0.76049,                 1.3317,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1888,                0.75478,                 1.2328,                0.88542,                0.83779,                0.90615,                0.59589,                 1.2387,                0.73976,                 1.3377,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1874,                0.74929,                 1.2373,                0.89285,                0.81567,                0.90321,                0.58936,                 1.2285,                0.76059,                 1.3227,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1796,                0.73649,                 1.2229,                0.86251,                0.83303,                0.90183,                0.59318,                  1.234,                0.74441,                 1.3186,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1803,                0.72298,                  1.225,                0.88701,                0.82787,                0.90354,                0.60416,                 1.2243,                 0.7214,                   1.31,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1561,                0.70935,                 1.2194,                0.87779,                0.82963,                0.89906,                0.58767,                 1.2183,                0.78795,                 1.3108,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1609,                0.71501,                 1.2188,                0.90608,                0.86415,                0.92534,                0.62196,                 1.1948,                0.67226,                 1.2919,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.1556,                0.70069,                 1.2145,                0.84655,                0.85849,                0.91079,                0.61605,                 1.2059,                0.69693,                 1.3066,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1382,                0.69499,                 1.2136,                0.87036,                0.84389,                0.90862,                0.60949,                 1.1909,                0.68196,                 1.2935,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1387,                0.68612,                 1.2039,                0.89929,                0.84702,                0.91468,                0.61915,                 1.1963,                0.66582,                 1.2964,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1296,                0.67887,                 1.2046,                0.85943,                0.88486,                0.91684,                0.61055,                 1.2113,                0.69069,                 1.3152,               0.001047,               0.001047,               0.001047
                     29,                 1.1264,                0.67642,                 1.1938,                0.87845,                 0.8542,                0.92177,                0.62369,                 1.1884,                0.67021,                 1.2836,              0.0010329,              0.0010329,              0.0010329
